Subject	Grade	Domain Name	Domain Abbreviation	Domain Name Full	New Cluster Name	Cluster Abbreviation	Cluster Name Full	Cluster (old)	Standard Abbreviation	State Standard	Notes
Math	7	Ratios &amp; Proportional Relationships	RP	(RP) Ratios &amp; Proportional Relationships	Analyzing proportional relationships	7.RP.A	(7.RP.A) Analyzing proportional relationships	Analyze Proportional Relationships And Use Them To Solve Real-World And Mathematical Problems.	7.RP.A.2	Recognize and represent proportional relationships between quantities.	
Math	7	Ratios &amp; Proportional Relationships	RP	(RP) Ratios &amp; Proportional Relationships	Analyzing proportional relationships	7.RP.A	(7.RP.A) Analyzing proportional relationships	Analyze Proportional Relationships And Use Them To Solve Real-World And Mathematical Problems.	7.RP.A.2.a	"Decide whether two quantities are in a proportional relationship, e.g., by testing for equivalent ratios in a table or graphing on a coordinate plane and observing whether the graph is a straight line through the origin."	
Math	7	Ratios &amp; Proportional Relationships	RP	(RP) Ratios &amp; Proportional Relationships	Analyzing proportional relationships	7.RP.A	(7.RP.A) Analyzing proportional relationships	Analyze Proportional Relationships And Use Them To Solve Real-World And Mathematical Problems.	7.RP.A.2.b	"Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships."	
Math	7	Ratios &amp; Proportional Relationships	RP	(RP) Ratios &amp; Proportional Relationships	Analyzing proportional relationships	7.RP.A	(7.RP.A) Analyzing proportional relationships	Analyze Proportional Relationships And Use Them To Solve Real-World And Mathematical Problems.	7.RP.A.2.c	"Represent proportional relationships by equations. For example, if total cost t is proportional to the number n of items purchased at a constant price p, the relationship between the total cost and the number of items can be expressed as t = pn."	
Math	7	Ratios &amp; Proportional Relationships	RP	(RP) Ratios &amp; Proportional Relationships	Analyzing proportional relationships	7.RP.A	(7.RP.A) Analyzing proportional relationships	Analyze Proportional Relationships And Use Them To Solve Real-World And Mathematical Problems.	7.RP.A.2.d	"Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate."	
Math	7	Ratios &amp; Proportional Relationships	RP	(RP) Ratios &amp; Proportional Relationships	Analyzing proportional relationships	7.RP.A	(7.RP.A) Analyzing proportional relationships	Analyze Proportional Relationships And Use Them To Solve Real-World And Mathematical Problems.	7.RP.A.3	"Use proportional relationships to solve multistep ratio and percent problems. Examples: simple interest, tax, markups and markdowns, gratuities and commissions, fees, percent increase and decrease, percent error."	
Math	7	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Random sampling	7.SP.A	(7.SP.A) Random sampling	Use Random Sampling To Draw Inferences About A Population.	7.SP.A.1	Understand that statistics can be used to gain information about a population by examining a sample of the population; generalizations about a population from a sample are valid only if the sample is representative of that population. Understand that random sampling tends to produce representative samples and support valid inferences.	
Math	7	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Random sampling	7.SP.A	(7.SP.A) Random sampling	Use Random Sampling To Draw Inferences About A Population.	7.SP.A.2	"Use data from a random sample to draw inferences about a population with an unknown characteristic of interest. Generate multiple samples (or simulated samples) of the same size to gauge the variation in estimates or predictions. For example, estimate the mean word length in a book by randomly sampling words from the book; predict the winner of a school election based on randomly sampled survey data. Gauge how far off the estimate or prediction might be."	
Math	7	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Comparing two populations	7.SP.B	(7.SP.B) Comparing two populations	Draw Informal Comparative Inferences About Two Populations.	7.SP.B.3	"Informally assess the degree of visual overlap of two numerical data distributions with similar variabilities, measuring the difference between the centers by expressing it as a multiple of a measure of variability. For example, the mean height of players on the basketball team is 10 cm greater than the mean height of players on the soccer team, about twice the variability (mean absolute deviation) on either team; on a dot plot, the separation between the two distributions of heights is noticeable."	
Math	7	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Comparing two populations	7.SP.B	(7.SP.B) Comparing two populations	Draw Informal Comparative Inferences About Two Populations.	7.SP.B.4	"Use measures of center and measures of variability for numerical data from random samples to draw informal comparative inferences about two populations. For example, decide whether the words in a chapter of a seventh-grade science book are generally longer than the words in a chapter of a fourth-grade science book."	
Math	7	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Chance processes and probability models	7.SP.C	(7.SP.C) Chance processes and probability models	"Investigate Chance Processes And Develop, Use, And Evaluate Probability Models."	7.SP.C.5	"Understand that the probability of a chance event is a number between 0 and 1 that expresses the likelihood of the event occurring. Larger numbers indicate greater likelihood. A probability near 0 indicates an unlikely event, a probability around 1/2 indicates an event that is neither unlikely nor likely, and a probability near 1 indicates a likely event."	
Math	7	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Chance processes and probability models	7.SP.C	(7.SP.C) Chance processes and probability models	"Investigate Chance Processes And Develop, Use, And Evaluate Probability Models."	7.SP.C.6	"Approximate the probability of a chance event by collecting data on the chance process that produces it and observing its long-run relative frequency, and predict the approximate relative frequency given the probability. For example, when rolling a number cube 600 times, predict that a 3 or 6 would be rolled roughly 200 times, but probably not exactly 200 times."	
Math	7	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Chance processes and probability models	7.SP.C	(7.SP.C) Chance processes and probability models	"Investigate Chance Processes And Develop, Use, And Evaluate Probability Models."	7.SP.C.7	"Develop a probability model and use it to find probabilities of events. Compare probabilities from a model to observed frequencies; if the agreement is not good, explain possible sources of the discrepancy."	
Math	7	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Chance processes and probability models	7.SP.C	(7.SP.C) Chance processes and probability models	"Investigate Chance Processes And Develop, Use, And Evaluate Probability Models."	7.SP.C.7.a	"Develop a uniform probability model by assigning equal probability to all outcomes, and use the model to determine probabilities of events. For example, if a student is selected at random from a class, find the probability that Jane will be selected and the probability that a girl will be selected."	
Math	7	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Chance processes and probability models	7.SP.C	(7.SP.C) Chance processes and probability models	"Investigate Chance Processes And Develop, Use, And Evaluate Probability Models."	7.SP.C.7.b	"Develop a probability model (which may not be uniform) by observing frequencies in data generated from a chance process. For example, find the approximate probability that a spinning penny will land heads up or that a tossed paper cup will land open-end down. Do the outcomes for the spinning penny appear to be equally likely based on the observed frequencies?"	
Math	7	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Chance processes and probability models	7.SP.C	(7.SP.C) Chance processes and probability models	"Investigate Chance Processes And Develop, Use, And Evaluate Probability Models."	7.SP.C.8	"Find probabilities of compound events using organized lists, tables, tree diagrams, and simulation."	
Math	7	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Chance processes and probability models	7.SP.C	(7.SP.C) Chance processes and probability models	"Investigate Chance Processes And Develop, Use, And Evaluate Probability Models."	7.SP.C.8.a	"Understand that, just as with simple events, the probability of a compound event is the fraction of outcomes in the sample space for which the compound event occurs."	
Math	7	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Chance processes and probability models	7.SP.C	(7.SP.C) Chance processes and probability models	"Investigate Chance Processes And Develop, Use, And Evaluate Probability Models."	7.SP.C.8.b	"Represent sample spaces for compound events using methods such as organized lists, tables and tree diagrams. For an event described in everyday language (e.g., ‰ÛÏrolling double sixes‰Û), identify the outcomes in the sample space which compose the event."	
Math	7	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Chance processes and probability models	7.SP.C	(7.SP.C) Chance processes and probability models	"Investigate Chance Processes And Develop, Use, And Evaluate Probability Models."	7.SP.C.8.c	"Design and use a simulation to generate frequencies for compound events. For example, use random digits as a simulation tool to approximate the answer to the question: If 40% of donors have type A blood, what is the probability that it will take at least 4 donors to find one with type A blood?"	
Math	8	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Radicals and integer exponents	8.EE.A	(8.EE.A) Radicals and integer exponents	Work With Radicals And Integer Exponents.	8.EE.A.1	"Know and apply the properties of integer exponents to generate equivalent numerical expressions. For example, 32 ÌÑ 3‰ÛÒ5 = 3‰ÛÒ3 = 1/33 = 1/27."	
Math	8	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Radicals and integer exponents	8.EE.A	(8.EE.A) Radicals and integer exponents	Work With Radicals And Integer Exponents.	8.EE.A.2	"Use square root and cube root symbols to represent solutions to equations of the form x2 = p and x3 = p, where p is a positive rational number. Evaluate square roots of small perfect squares and cube roots of small perfect cubes. Know that ‰ö_2 is irrational."	
Math	8	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Radicals and integer exponents	8.EE.A	(8.EE.A) Radicals and integer exponents	Work With Radicals And Integer Exponents.	8.EE.A.3	"Use numbers expressed in the form of a single digit times an integer power of 10 to estimate very large or very small quantities, and to express how many times as much one is than the other. For example, estimate the population of the United States as 3 ÌÑ 108 and the population of the world as 7 ÌÑ 109, and determine that the world population is more than 20 times larger."	
Math	8	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Radicals and integer exponents	8.EE.A	(8.EE.A) Radicals and integer exponents	Work With Radicals And Integer Exponents.	8.EE.A.4	"Perform operations with numbers expressed in scientific notation, including problems where both decimal and scientific notation are used. Use scientific notation and choose units of appropriate size for measurements of very large or very small quantities (e.g., use millimeters per year for seafloor spreading). Interpret scientific notation that has been generated by technology."	
Math	8	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	"Proportional relationships, lines, and linear equations"	8.EE.B	"(8.EE.B) Proportional relationships, lines, and linear equations"	"Understand The Connections Between Proportional Relationships, Lines, And Linear Equations."	8.EE.B.5	"Graph proportional relationships, interpreting the unit rate as the slope of the graph. Compare two different proportional relationships represented in different ways. For example, compare a distance-time graph to a distance-time equation to determine which of two moving objects has greater speed."	
Math	8	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	"Proportional relationships, lines, and linear equations"	8.EE.B	"(8.EE.B) Proportional relationships, lines, and linear equations"	"Understand The Connections Between Proportional Relationships, Lines, And Linear Equations."	8.EE.B.6	Use similar triangles to explain why the slope m is the same between any two distinct points on a non-vertical line in the coordinate plane; derive the equation y = mx for a line through the origin and the equation y = mx + b for a line intercepting the vertical axis at b.	
Math	8	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Linear equations and pairs of linear equations	8.EE.C	(8.EE.C) Linear equations and pairs of linear equations	Analyze And Solve Linear Equations And Pairs Of Simultaneous Linear Equations.	8.EE.C.7	Solve linear equations in one variable.	
Math	8	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Linear equations and pairs of linear equations	8.EE.C	(8.EE.C) Linear equations and pairs of linear equations	Analyze And Solve Linear Equations And Pairs Of Simultaneous Linear Equations.	8.EE.C.7.a	"Give examples of linear equations in one variable with one solution, infinitely many solutions, or no solutions. Show which of these possibilities is the case by successively transforming the given equation into simpler forms, until an equivalent equation of the form x = a, a = a, or a = b results (where a and b are different numbers)."	
Math	8	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Linear equations and pairs of linear equations	8.EE.C	(8.EE.C) Linear equations and pairs of linear equations	Analyze And Solve Linear Equations And Pairs Of Simultaneous Linear Equations.	8.EE.C.7.b	"Solve linear equations with rational number coefficients, including equations whose solutions require expanding expressions using the distributive property and collecting like terms."	
Math	8	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Linear equations and pairs of linear equations	8.EE.C	(8.EE.C) Linear equations and pairs of linear equations	Analyze And Solve Linear Equations And Pairs Of Simultaneous Linear Equations.	8.EE.C.8	Analyze and solve pairs of simultaneous linear equations.	
Math	8	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Linear equations and pairs of linear equations	8.EE.C	(8.EE.C) Linear equations and pairs of linear equations	Analyze And Solve Linear Equations And Pairs Of Simultaneous Linear Equations.	8.EE.C.8.a	"Understand that solutions to a system of two linear equations in two variables correspond to points of intersection of their graphs, because points of intersection satisfy both equations simultaneously."	
Math	8	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Linear equations and pairs of linear equations	8.EE.C	(8.EE.C) Linear equations and pairs of linear equations	Analyze And Solve Linear Equations And Pairs Of Simultaneous Linear Equations.	8.EE.C.8.b	"Solve systems of two linear equations in two variables algebraically, and estimate solutions by graphing the equations. Solve simple cases by inspection. For example, 3x + 2y = 5 and 3x + 2y = 6 have no solution because 3x + 2y cannot simultaneously be 5 and 6."	
Math	8	Expressions &amp; Equations	EE	(EE) Expressions &amp; Equations	Linear equations and pairs of linear equations	8.EE.C	(8.EE.C) Linear equations and pairs of linear equations	Analyze And Solve Linear Equations And Pairs Of Simultaneous Linear Equations.	8.EE.C.8.c	"Solve real-world and mathematical problems leading to two linear equations in two variables. For example, given coordinates for two pairs of points, determine whether the line through the first pair of points intersects the line through the second pair."	
Math	8	Functions	F	(F) Functions	Defining functions	8.F.A	(8.F.A) Defining functions	"Define, Evaluate, And Compare Functions."	8.F.A.1	Understand that a function is a rule that assigns to each input exactly one output. The graph of a function is the set of ordered pairs consisting of an input and the corresponding output.	
Math	8	Functions	F	(F) Functions	Defining functions	8.F.A	(8.F.A) Defining functions	"Define, Evaluate, And Compare Functions."	8.F.A.2	"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions). For example, given a linear function represented by a table of values and a linear function represented by an algebraic expression, determine which function has the greater rate of change."	
Math	8	Functions	F	(F) Functions	Defining functions	8.F.A	(8.F.A) Defining functions	"Define, Evaluate, And Compare Functions."	8.F.A.3	"Interpret the equation y = mx + b as defining a linear function, whose graph is a straight line; give examples of functions that are not linear. For example, the function A = s2 giving the area of a square as a function of its side length is not linear because its graph contains the points (1,1), (2,4) and (3,9), which are not on a straight line."	
Math	8	Functions	F	(F) Functions	Functions as models	8.F.B	(8.F.B) Functions as models	Use Functions To Model Relationships Between Quantities.	8.F.B.4	"Construct a function to model a linear relationship between two quantities. Determine the rate of change and initial value of the function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph. Interpret the rate of change and initial value of a linear function in terms of the situation it models, and in terms of its graph or a table of values."	
Math	8	Functions	F	(F) Functions	Functions as models	8.F.B	(8.F.B) Functions as models	Use Functions To Model Relationships Between Quantities.	8.F.B.5	"Describe qualitatively the functional relationship between two quantities by analyzing a graph (e.g., where the function is increasing or decreasing, linear or nonlinear). Sketch a graph that exhibits the qualitative features of a function that has been described verbally."	
Math	8	Geometry	G	(G) Geometry	Congruence and similarity	8.G.A	(8.G.A) Congruence and similarity	"Understand Congruence And Similarity Using Physical Models, Trans- Parencies, Or Geometry Software."	8.G.A.1	"Verify experimentally the properties of rotations, reflections, and translations:"	
Math	8	Geometry	G	(G) Geometry	Congruence and similarity	8.G.A	(8.G.A) Congruence and similarity	"Understand Congruence And Similarity Using Physical Models, Trans- Parencies, Or Geometry Software."	8.G.A.1.a	"Lines are taken to lines, and line segments to line segments of the same length."	
Math	8	Geometry	G	(G) Geometry	Congruence and similarity	8.G.A	(8.G.A) Congruence and similarity	"Understand Congruence And Similarity Using Physical Models, Trans- Parencies, Or Geometry Software."	8.G.A.1.b	Angles are taken to angles of the same measure.	
Math	8	Geometry	G	(G) Geometry	Congruence and similarity	8.G.A	(8.G.A) Congruence and similarity	"Understand Congruence And Similarity Using Physical Models, Trans- Parencies, Or Geometry Software."	8.G.A.1.c	Parallel lines are taken to parallel lines.	
Math	8	Geometry	G	(G) Geometry	Congruence and similarity	8.G.A	(8.G.A) Congruence and similarity	"Understand Congruence And Similarity Using Physical Models, Trans- Parencies, Or Geometry Software."	8.G.A.2	"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them."	
Math	8	Geometry	G	(G) Geometry	Congruence and similarity	8.G.A	(8.G.A) Congruence and similarity	"Understand Congruence And Similarity Using Physical Models, Trans- Parencies, Or Geometry Software."	8.G.A.3	"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates."	
Math	8	Geometry	G	(G) Geometry	Congruence and similarity	8.G.A	(8.G.A) Congruence and similarity	"Understand Congruence And Similarity Using Physical Models, Trans- Parencies, Or Geometry Software."	8.G.A.4	"Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two- dimensional figures, describe a sequence that exhibits the similarity between them."	
Math	8	Geometry	G	(G) Geometry	Congruence and similarity	8.G.A	(8.G.A) Congruence and similarity	"Understand Congruence And Similarity Using Physical Models, Trans- Parencies, Or Geometry Software."	8.G.A.5	"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles. For example, arrange three copies of the same triangle so that the sum of the three angles appears to form a line, and give an argument in terms of transversals why this is so."	
Math	8	Geometry	G	(G) Geometry	The Pythagorean theorem	8.G.B	(8.G.B) The Pythagorean theorem	Understand And Apply The Pythagorean Theorem.	8.G.B.6	Explain a proof of the Pythagorean Theorem and its converse.	
Math	8	Geometry	G	(G) Geometry	The Pythagorean theorem	8.G.B	(8.G.B) The Pythagorean theorem	Understand And Apply The Pythagorean Theorem.	8.G.B.7	Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.	
Math	8	Geometry	G	(G) Geometry	The Pythagorean theorem	8.G.B	(8.G.B) The Pythagorean theorem	Understand And Apply The Pythagorean Theorem.	8.G.B.8	Apply the Pythagorean Theorem to find the distance between two points in a coordinate system.	
Math	8	Geometry	G	(G) Geometry	"Problems involving volume of cylinders, cones, and spheres"	8.G.C	"(8.G.C) Problems involving volume of cylinders, cones, and spheres"	"Solve Real-World And Mathematical Problems Involving Volume Of Cylinders, Cones, And Spheres."	8.G.C.9	"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems."	
Math	8	The Number System	NS	(NS) The Number System	Approximating irrational numbers	8.NS.A	(8.NS.A) Approximating irrational numbers	"Know That There Are Numbers That Are Not Rational, And Approximate Them By Rational Numbers."	8.NS.A.1	"Know that numbers that are not rational are called irrational. Understand informally that every number has a decimal expansion; for rational numbers show that the decimal expansion repeats eventually, and convert a decimal expansion which repeats eventually into a rational number."	
Math	8	The Number System	NS	(NS) The Number System	Approximating irrational numbers	8.NS.A	(8.NS.A) Approximating irrational numbers	"Know That There Are Numbers That Are Not Rational, And Approximate Them By Rational Numbers."	8.NS.A.2	"Use rational approximations of irrational numbers to compare the size of irrational numbers, locate them approximately on a number line diagram, and estimate the value of expressions (e.g., ìÛ2). For example, by truncating the decimal expansion of ‰ö_2, show that ‰ö_2 is between 1 and 2, then between 1.4 and 1.5, and explain how to continue on to get better approximations."	
Math	8	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Bivariate data	8.SP.A	(8.SP.A) Bivariate data	Investigate Patterns Of Association In Bivariate Data.	8.SP.A.1	"Construct and interpret scatter plots for bivariate measurement data to investigate patterns of association between two quantities. Describe patterns such as clustering, outliers, positive or negative association, linear association, and nonlinear association."	
Math	8	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Bivariate data	8.SP.A	(8.SP.A) Bivariate data	Investigate Patterns Of Association In Bivariate Data.	8.SP.A.2	"Know that straight lines are widely used to model relationships between two quantitative variables. For scatter plots that suggest a linear association, informally fit a straight line, and informally assess the model fit by judging the closeness of the data points to the line."	
Math	8	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Bivariate data	8.SP.A	(8.SP.A) Bivariate data	Investigate Patterns Of Association In Bivariate Data.	8.SP.A.3	"Use the equation of a linear model to solve problems in the context of bivariate measurement data, interpreting the slope and intercept. For example, in a linear model for a biology experiment, interpret a slope of 1.5 cm/hr as meaning that an additional hour of sunlight each day is associated with an additional 1.5 cm in mature plant height."	
Math	8	Statistics &amp; Probability	SP	(SP) Statistics &amp; Probability	Bivariate data	8.SP.A	(8.SP.A) Bivariate data	Investigate Patterns Of Association In Bivariate Data.	8.SP.A.4	"Understand that patterns of association can also be seen in bivariate categorical data by displaying frequencies and relative frequencies in a two-way table. Construct and interpret a two-way table summarizing data on two categorical variables collected from the same subjects. Use relative frequencies calculated for rows or columns to describe possible association between the two variables. For example, collect data from students in your class on whether or not they have a curfew on school nights and whether or not they have assigned chores at home. Is there evidence that those who have a curfew also tend to have chores?"	
Math	HSA	Arithmetic with Polynomials &amp; Rational Expressions	APR	(APR) Arithmetic with Polynomials &amp; Rational Expressions	Arithmetic operations on polynomials	HSA.APR.A	(HSA.APR.A) Arithmetic operations on polynomials	Perform Arithmetic Operations On Polynomials	HSA.APR.A.1	"Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials."	
Math	HSA	Arithmetic with Polynomials &amp; Rational Expressions	APR	(APR) Arithmetic with Polynomials &amp; Rational Expressions	Zeros and factors of polynomials	HSA.APR.B	(HSA.APR.B) Zeros and factors of polynomials	Understand The Relationship Between Zeros And Factors Of Polynomials	HSA.APR.B.2	"Know and apply the Remainder Theorem: For a polynomial p(x) and a number a, the remainder on division by x ‰ÛÒ a is p(a), so p(a) = 0 if and only if (x ‰ÛÒ a) is a factor of p(x)."	
Math	HSA	Arithmetic with Polynomials &amp; Rational Expressions	APR	(APR) Arithmetic with Polynomials &amp; Rational Expressions	Zeros and factors of polynomials	HSA.APR.B	(HSA.APR.B) Zeros and factors of polynomials	Understand The Relationship Between Zeros And Factors Of Polynomials	HSA.APR.B.3	"Identify zeros of polynomials when suitable factorizations are available, and use the zeros to construct a rough graph of the function defined by the polynomial."	
Math	HSA	Arithmetic with Polynomials &amp; Rational Expressions	APR	(APR) Arithmetic with Polynomials &amp; Rational Expressions	Polynomial identities	HSA.APR.C	(HSA.APR.C) Polynomial identities	Use Polynomial Identities To Solve Problems	HSA.APR.C.4	"Prove polynomial identities and use them to describe numerical relationships. For example, the polynomial identity (x2 + y2)2 = (x2 ‰ÛÒ y2)2 + (2xy)2 can be used to generate Pythagorean triples."	
Math	HSA	Arithmetic with Polynomials &amp; Rational Expressions	APR	(APR) Arithmetic with Polynomials &amp; Rational Expressions	Polynomial identities	HSA.APR.C	(HSA.APR.C) Polynomial identities	Use Polynomial Identities To Solve Problems	HSA.APR.C.5	"(+) Know and apply the Binomial Theorem for the expansion of (x + y)n in powers of x and y for a positive integer n, where x and y are any numbers, with coefficients determined for example by Pascal‰Ûªs Triangle.1"	
Math	HSA	Arithmetic with Polynomials &amp; Rational Expressions	APR	(APR) Arithmetic with Polynomials &amp; Rational Expressions	Rewriting rational expressions	HSA.APR.D	(HSA.APR.D) Rewriting rational expressions	Rewrite Rational Expressions	HSA.APR.D.6	"Rewrite simple rational expressions in different forms; write a(x)/b(x) in the form q(x) + r(x)/b(x), where a(x), b(x), q(x), and r(x) are polynomials with the degree of r(x) less than the degree of b(x), using inspection, long division, or, for the more complicated examples, a computer algebra system."	
Math	HSA	Arithmetic with Polynomials &amp; Rational Expressions	APR	(APR) Arithmetic with Polynomials &amp; Rational Expressions	Rewriting rational expressions	HSA.APR.D	(HSA.APR.D) Rewriting rational expressions	Rewrite Rational Expressions	HSA.APR.D.7	"(+) Understand that rational expressions form a system analogous to the rational numbers, closed under addition, subtraction, multiplication, and division by a nonzero rational expression; add, subtract, multiply, and divide rational expressions."	
Math	HSA	Creating Equations	CED	(CED) Creating Equations	Creating equations	HSA.CED.A	(HSA.CED.A) Creating equations	Create Equations That Describe Numbers Or Relationships	HSA.CED.A.1	"Create equations and inequalities in one variable and use them to solve problems. Include equations arising from linear and quadratic functions, and simple rational and exponential functions."	
Math	HSA	Creating Equations	CED	(CED) Creating Equations	Creating equations	HSA.CED.A	(HSA.CED.A) Creating equations	Create Equations That Describe Numbers Or Relationships	HSA.CED.A.2	Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.	
Math	HSA	Creating Equations	CED	(CED) Creating Equations	Creating equations	HSA.CED.A	(HSA.CED.A) Creating equations	Create Equations That Describe Numbers Or Relationships	HSA.CED.A.3	"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or non- viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods."	
Math	HSA	Creating Equations	CED	(CED) Creating Equations	Creating equations	HSA.CED.A	(HSA.CED.A) Creating equations	Create Equations That Describe Numbers Or Relationships	HSA.CED.A.4	"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations. For example, rearrange Ohm‰Ûªs law V = IR to highlight resistance R."	
Math	HSA	Reasoning with Equations &amp; Inequalities	REI	(REI) Reasoning with Equations &amp; Inequalities	Understanding equation solutions	HSA.REI.A	(HSA.REI.A) Understanding equation solutions	Understand Solving Equations As A Process Of Reasoning And Explain The Reasoning	HSA.REI.A.1	"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method."	
Math	HSA	Reasoning with Equations &amp; Inequalities	REI	(REI) Reasoning with Equations &amp; Inequalities	Understanding equation solutions	HSA.REI.A	(HSA.REI.A) Understanding equation solutions	Understand Solving Equations As A Process Of Reasoning And Explain The Reasoning	HSA.REI.A.2	"Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise."	
Math	HSA	Reasoning with Equations &amp; Inequalities	REI	(REI) Reasoning with Equations &amp; Inequalities	Solving equations and inequalities in one variable	HSA.REI.B	(HSA.REI.B) Solving equations and inequalities in one variable	Solve Equations And Inequalities In One Variable	HSA.REI.B.3	"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters."	
Math	HSA	Reasoning with Equations &amp; Inequalities	REI	(REI) Reasoning with Equations &amp; Inequalities	Solving equations and inequalities in one variable	HSA.REI.B	(HSA.REI.B) Solving equations and inequalities in one variable	Solve Equations And Inequalities In One Variable	HSA.REI.B.4	Solve quadratic equations in one variable.	
Math	HSA	Reasoning with Equations &amp; Inequalities	REI	(REI) Reasoning with Equations &amp; Inequalities	Solving equations and inequalities in one variable	HSA.REI.B	(HSA.REI.B) Solving equations and inequalities in one variable	Solve Equations And Inequalities In One Variable	HSA.REI.B.4.a	Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x ‰ÛÒ p)2 = q that has the same solutions. Derive the quadratic formula from this form.	
Math	HSA	Reasoning with Equations &amp; Inequalities	REI	(REI) Reasoning with Equations &amp; Inequalities	Solving equations and inequalities in one variable	HSA.REI.B	(HSA.REI.B) Solving equations and inequalities in one variable	Solve Equations And Inequalities In One Variable	HSA.REI.B.4.b	"Solve quadratic equations by inspection (e.g., for x2 = 49), taking square roots, completing the square, the quadratic formula and factoring, as appropriate to the initial form of the equation. Recognize when the quadratic formula gives complex solutions and write them as a å± bi for real numbers a and b."	
Math	HSA	Reasoning with Equations &amp; Inequalities	REI	(REI) Reasoning with Equations &amp; Inequalities	Solve systems of equations	HSA.REI.C	(HSA.REI.C) Solve systems of equations	Solve Systems Of Equations	HSA.REI.C.5	"Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions."	
Math	HSA	Reasoning with Equations &amp; Inequalities	REI	(REI) Reasoning with Equations &amp; Inequalities	Solve systems of equations	HSA.REI.C	(HSA.REI.C) Solve systems of equations	Solve Systems Of Equations	HSA.REI.C.6	"Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables."	
Math	HSA	Reasoning with Equations &amp; Inequalities	REI	(REI) Reasoning with Equations &amp; Inequalities	Solve systems of equations	HSA.REI.C	(HSA.REI.C) Solve systems of equations	Solve Systems Of Equations	HSA.REI.C.7	"Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically. For example, find the points of intersection between the line y = ‰ÛÒ3x and the circle x2 + y2 = 3."	
